datetime,avg_price,min_price,max_price,volume,item
2025-04-02T00:00:00.000+00:00,34.5,29,40,260,Wisp Prime
2025-04-03T00:00:00.000+00:00,36.0,32,40,267,Wisp Prime
2025-04-04T00:00:00.000+00:00,34.0,28,40,365,Wisp Prime
2025-04-05T00:00:00.000+00:00,35.0,33,37,310,Wisp Prime
2025-04-06T00:00:00.000+00:00,35.0,33,37,230,Wisp Prime
2025-04-07T00:00:00.000+00:00,35.0,30,40,247,Wisp Prime
2025-04-08T00:00:00.000+00:00,35.0,30,40,263,Wisp Prime
2025-04-09T00:00:00.000+00:00,35.0,30,40,242,Wisp Prime
2025-04-10T00:00:00.000+00:00,35.0,30,40,276,Wisp Prime
2025-04-11T00:00:00.000+00:00,34.5,29,40,338,Wisp Prime
2025-04-12T00:00:00.000+00:00,33.5,27,40,439,Wisp Prime
2025-04-13T00:00:00.000+00:00,34.0,28,40,336,Wisp Prime
2025-04-14T00:00:00.000+00:00,38.5,35,42,232,Wisp Prime
2025-04-15T00:00:00.000+00:00,35.0,33,37,160,Wisp Prime
2025-04-16T00:00:00.000+00:00,36.0,32,40,283,Wisp Prime
2025-04-17T00:00:00.000+00:00,36.0,32,40,241,Wisp Prime
2025-04-18T00:00:00.000+00:00,36.0,32,40,269,Wisp Prime
2025-04-19T00:00:00.000+00:00,37.0,32,42,271,Wisp Prime
2025-04-20T00:00:00.000+00:00,35.5,31,40,284,Wisp Prime
2025-04-21T00:00:00.000+00:00,35.5,31,40,229,Wisp Prime
2025-04-22T00:00:00.000+00:00,36.5,33,40,255,Wisp Prime
2025-04-23T00:00:00.000+00:00,35.5,31,40,216,Wisp Prime
2025-04-24T00:00:00.000+00:00,36.0,32,40,222,Wisp Prime
2025-04-25T00:00:00.000+00:00,36.0,32,40,233,Wisp Prime
2025-04-26T00:00:00.000+00:00,36.0,32,40,245,Wisp Prime
2025-04-27T00:00:00.000+00:00,37.0,32,42,276,Wisp Prime
2025-04-28T00:00:00.000+00:00,37.5,33,42,221,Wisp Prime
2025-04-29T00:00:00.000+00:00,36.5,33,40,229,Wisp Prime
2025-04-30T00:00:00.000+00:00,38.5,37,40,152,Wisp Prime
2025-05-01T00:00:00.000+00:00,36.5,33,40,237,Wisp Prime
2025-05-02T00:00:00.000+00:00,38.0,33,43,225,Wisp Prime
2025-05-03T00:00:00.000+00:00,36.0,32,40,344,Wisp Prime
2025-05-04T00:00:00.000+00:00,35.5,31,40,276,Wisp Prime
2025-05-05T00:00:00.000+00:00,40.0,20,60,241,Wisp Prime
2025-05-06T00:00:00.000+00:00,38.5,37,40,206,Wisp Prime
2025-05-07T00:00:00.000+00:00,55.0,30,80,284,Wisp Prime
2025-05-08T00:00:00.000+00:00,36.5,33,40,253,Wisp Prime
2025-05-09T00:00:00.000+00:00,37.5,33,42,232,Wisp Prime
2025-05-10T00:00:00.000+00:00,39.0,38,40,223,Wisp Prime
2025-05-11T00:00:00.000+00:00,38.5,37,40,219,Wisp Prime
2025-05-12T00:00:00.000+00:00,39.5,39,40,168,Wisp Prime
2025-05-13T00:00:00.000+00:00,38.5,37,40,189,Wisp Prime
2025-05-14T00:00:00.000+00:00,37.0,33,41,293,Wisp Prime
2025-05-15T00:00:00.000+00:00,38.5,37,40,198,Wisp Prime
2025-05-16T00:00:00.000+00:00,38.5,37,40,206,Wisp Prime
2025-05-17T00:00:00.000+00:00,38.5,37,40,288,Wisp Prime
2025-05-18T00:00:00.000+00:00,51.0,27,75,356,Wisp Prime
2025-05-19T00:00:00.000+00:00,40.0,38,42,201,Wisp Prime
2025-05-20T00:00:00.000+00:00,55.0,30,80,350,Wisp Prime
2025-05-21T00:00:00.000+00:00,65.0,30,100,353,Wisp Prime
2025-05-22T00:00:00.000+00:00,62.5,25,100,362,Wisp Prime
2025-05-23T00:00:00.000+00:00,62.5,25,100,329,Wisp Prime
2025-05-24T00:00:00.000+00:00,40.0,35,45,238,Wisp Prime
2025-05-25T00:00:00.000+00:00,40.0,38,42,164,Wisp Prime
2025-05-26T00:00:00.000+00:00,40.0,38,42,163,Wisp Prime
2025-05-27T00:00:00.000+00:00,40.0,38,42,201,Wisp Prime
2025-05-28T00:00:00.000+00:00,40.0,38,42,149,Wisp Prime
2025-05-29T00:00:00.000+00:00,67.0,34,100,230,Wisp Prime
2025-05-30T00:00:00.000+00:00,49.5,30,69,262,Wisp Prime
2025-05-31T00:00:00.000+00:00,39.0,38,40,182,Wisp Prime
2025-06-01T00:00:00.000+00:00,40.0,38,42,146,Wisp Prime
2025-06-02T00:00:00.000+00:00,66.0,32,100,173,Wisp Prime
2025-06-03T00:00:00.000+00:00,42.5,36,49,190,Wisp Prime
2025-06-04T00:00:00.000+00:00,42.5,35,50,198,Wisp Prime
2025-06-05T00:00:00.000+00:00,41.0,34,48,145,Wisp Prime
2025-06-06T00:00:00.000+00:00,40.0,35,45,175,Wisp Prime
