datetime,avg_price,min_price,max_price,volume,item,date,time,avg_price_7d
2025-04-05 00:00:00+00:00,48.5,42,55,101,Baruuk,2025-04-05,00:00:00,48.5
2025-04-06 00:00:00+00:00,52.5,40,65,167,Baruuk,2025-04-06,00:00:00,50.5
2025-04-07 00:00:00+00:00,56.0,43,69,102,Baruuk,2025-04-07,00:00:00,52.333333333333336
2025-04-08 00:00:00+00:00,55.0,45,65,85,Baruuk,2025-04-08,00:00:00,53.0
2025-04-09 00:00:00+00:00,57.0,49,65,82,Baruuk,2025-04-09,00:00:00,53.8
2025-04-10 00:00:00+00:00,48.0,36,60,102,Baruuk,2025-04-10,00:00:00,52.833333333333336
2025-04-11 00:00:00+00:00,50.0,36,64,82,Baruuk,2025-04-11,00:00:00,52.42857142857143
2025-04-12 00:00:00+00:00,48.5,37,60,106,Baruuk,2025-04-12,00:00:00,52.42857142857143
2025-04-13 00:00:00+00:00,52.5,45,60,99,Baruuk,2025-04-13,00:00:00,52.42857142857143
2025-04-14 00:00:00+00:00,55.0,45,65,87,Baruuk,2025-04-14,00:00:00,52.285714285714285
2025-04-15 00:00:00+00:00,52.5,45,60,82,Baruuk,2025-04-15,00:00:00,51.92857142857143
2025-04-16 00:00:00+00:00,54.5,49,60,72,Baruuk,2025-04-16,00:00:00,51.57142857142857
2025-04-17 00:00:00+00:00,56.0,52,60,58,Baruuk,2025-04-17,00:00:00,52.714285714285715
2025-04-18 00:00:00+00:00,54.0,43,65,106,Baruuk,2025-04-18,00:00:00,53.285714285714285
2025-04-19 00:00:00+00:00,52.5,45,60,94,Baruuk,2025-04-19,00:00:00,53.857142857142854
2025-04-20 00:00:00+00:00,49.5,39,60,106,Baruuk,2025-04-20,00:00:00,53.42857142857143
2025-04-21 00:00:00+00:00,56.5,53,60,47,Baruuk,2025-04-21,00:00:00,53.642857142857146
2025-04-22 00:00:00+00:00,57.0,45,69,71,Baruuk,2025-04-22,00:00:00,54.285714285714285
2025-04-23 00:00:00+00:00,57.0,54,60,56,Baruuk,2025-04-23,00:00:00,54.642857142857146
2025-04-24 00:00:00+00:00,52.5,45,60,60,Baruuk,2025-04-24,00:00:00,54.142857142857146
2025-04-25 00:00:00+00:00,57.0,54,60,43,Baruuk,2025-04-25,00:00:00,54.57142857142857
2025-04-26 00:00:00+00:00,49.5,39,60,57,Baruuk,2025-04-26,00:00:00,54.142857142857146
2025-04-27 00:00:00+00:00,54.5,54,55,37,Baruuk,2025-04-27,00:00:00,54.857142857142854
2025-04-28 00:00:00+00:00,59.0,58,60,28,Baruuk,2025-04-28,00:00:00,55.214285714285715
2025-04-29 00:00:00+00:00,59.0,58,60,39,Baruuk,2025-04-29,00:00:00,55.5
2025-04-30 00:00:00+00:00,50.5,41,60,64,Baruuk,2025-04-30,00:00:00,54.57142857142857
2025-05-01 00:00:00+00:00,57.5,55,60,43,Baruuk,2025-05-01,00:00:00,55.285714285714285
2025-05-02 00:00:00+00:00,53.0,41,65,41,Baruuk,2025-05-02,00:00:00,54.714285714285715
2025-05-03 00:00:00+00:00,55.0,45,65,80,Baruuk,2025-05-03,00:00:00,55.5
2025-05-04 00:00:00+00:00,57.0,49,65,65,Baruuk,2025-05-04,00:00:00,55.857142857142854
2025-05-05 00:00:00+00:00,56.5,53,60,57,Baruuk,2025-05-05,00:00:00,55.5
2025-05-06 00:00:00+00:00,59.0,58,60,32,Baruuk,2025-05-06,00:00:00,55.5
2025-05-07 00:00:00+00:00,55.0,50,60,48,Baruuk,2025-05-07,00:00:00,56.142857142857146
2025-05-08 00:00:00+00:00,57.0,54,60,55,Baruuk,2025-05-08,00:00:00,56.07142857142857
2025-05-09 00:00:00+00:00,58.5,57,60,41,Baruuk,2025-05-09,00:00:00,56.857142857142854
2025-05-10 00:00:00+00:00,56.5,53,60,55,Baruuk,2025-05-10,00:00:00,57.07142857142857
2025-05-11 00:00:00+00:00,52.5,41,64,78,Baruuk,2025-05-11,00:00:00,56.42857142857143
2025-05-12 00:00:00+00:00,58.5,57,60,48,Baruuk,2025-05-12,00:00:00,56.714285714285715
2025-05-13 00:00:00+00:00,53.5,43,64,60,Baruuk,2025-05-13,00:00:00,55.92857142857143
2025-05-14 00:00:00+00:00,57.5,55,60,50,Baruuk,2025-05-14,00:00:00,56.285714285714285
2025-05-15 00:00:00+00:00,57.5,50,65,65,Baruuk,2025-05-15,00:00:00,56.357142857142854
2025-05-16 00:00:00+00:00,55.0,53,57,37,Baruuk,2025-05-16,00:00:00,55.857142857142854
2025-05-17 00:00:00+00:00,53.0,41,65,85,Baruuk,2025-05-17,00:00:00,55.357142857142854
2025-05-18 00:00:00+00:00,55.0,45,65,74,Baruuk,2025-05-18,00:00:00,55.714285714285715
